<place><saladbowl> (126-158)
<place><pitcher> (338-362)
<spoon><pitcher,saladbowl> (523-707)
<place><oilbottle> (900-932)
<place><mcup1> (905-932)
<pour><oilbottle,mcup1> (983-1213)
<place><cakemixbox> (1351-1391)
<pour><cakemixbox,saladbowl> (1434-1605)
<mix><saladbowl> (1804-2144)
<pour><mcup1,saladbowl> (2364-2530)
<place><bluebowl> (2723-2756)
<pour><bluebowl,saladbowl> (2780-2904)
<mix><saladbowl> (2932-3482)
<place><smallpatternbowl> (3699-3731)
<pour><smallpatternbowl,saladbowl> (3778-3883)
<mix><saladbowl> (3897-4577)
